uniprot_id	pdb_id
A0A024R644	6R99
A0A075B6T6	1AO7
A0A075B6T6	4ZDH
A0A075B6T6	5NHT
A0A075B6T6	6DKP
A0A087WT01	5HHM
A0A087WT01	5HHO
A0A087X2I1	6WJD
A0A0B4J1U3	6MID
A0A0B4J1V1	6APD
A0A0B4J268	6AT6
A0A0B4J268	6AVF
A0A0B4J268	6AVG
A0A0B4J271	4WWK
A0A0B4J271	5C07
A0A0B4J271	5C08
A0A0B4J271	5C09
A0A0B4J271	5C0A
A0A0B4J271	5C0B
A0A0B4J271	5C0C
A0A0B4J271	5HYJ
A0A0B4J271	6JXR
A0A0B4J272	6CPH
A0A0B4J272	6CQL
A0A0B4J272	6CQN
A0A0B4J272	6CQQ
A0A0B4J272	6CQR
A0A0B4J279	2BNQ
A0A0B4J279	2BNR
A0A0B4J279	2BNU
A0A0B4J279	4WW1
A0A0B4J279	4WW2
A0A0B4J279	5BRZ
A0A0B4J279	5BS0
A0A0B4J279	5EU6
A0A0B4J279	6Q3S
A0A0B4J2E0	5C07
A0A0B4J2E0	5C08
A0A0B4J2E0	5C09
A0A0B4J2E0	5C0A
A0A0B4J2E0	5C0B
A0A0B4J2E0	5C0C
A0A0B4J2E0	5HYJ
A0A0B4J2H0	5WKZ
A0A0C4DGV4	6B9X
A0A0C4DGV4	6WJ2
A0A0C4DGV4	6WJ3
A0A0C4DGY3	6XT9
A0A0G2JMB4	6CQN
A0A0G2JRV3	6LZP
A0A0G2K8Z9	5ZBR
A0A0G2K8Z9	5ZBS
A0A0G2K8Z9	6A1Z
A0A0G2K8Z9	6A20
A0A0H2W5E4	4R8E
A0A0H2WF95	3I09
A0A0K0K1A5	1AO7
A0A0K0K1A5	1BD2
A0A0K0K1A5	2BNQ
A0A0K0K1A5	2BNR
A0A0K0K1A5	2BNU
A0A0K0K1A5	4WWK
A0A0K0K1A5	6JXR
A0A0K0K1A5	6Q3S
A0A0R4J027	7BR9
A0A0U5Q247	5KS9
A0A0U5Q247	5KSA
A0A0U5Q247	5KSB
A0A125YJ29	5XXU
A0A125YMR9	5XXU
A0A140T913	6O4Y
A0A140T913	6O4Z
A0A140T913	6O51
A0A140T913	6O53
A0A140T913	6UZ1
A0A140T913	6VQO
A0A140T913	6VR1
A0A140T913	6VR5
A0A140T913	6VRM
A0A140T913	6VRN
A0A1L5YRA2	6JOX
A0A1L8F5J9	3QEK
A0A1L8F5J9	3QEL
A0A1L8F5J9	3QEM
A0A1L8F5J9	4TLL
A0A1L8F5J9	4TLM
A0A1L8F5J9	5B3J
A0A1L8F5J9	5EWJ
A0A1L8F5J9	5EWL
A0A1L8F5J9	5EWM
A0A1L8F5J9	5IOU
A0A1L8F5J9	5IOV
A0A1L8F5J9	5IPQ
A0A1L8F5J9	5IPR
A0A1L8F5J9	5IPS
A0A1L8F5J9	5IPT
A0A1L8F5J9	5IPU
A0A1L8F5J9	5IPV
A0A1L8F5J9	5TPW
A0A1L8F5J9	5TPZ
A0A1L8F5J9	5TQ0
A0A1L8F5J9	5TQ2
A0A1L8F5J9	5UN1
A0A1L8F5J9	5UOW
A0A1L8F5J9	5UP2
A0A1L8F5J9	6E7R
A0A1L8F5J9	6E7S
A0A1L8F5J9	6E7T
A0A1L8F5J9	6E7U
A0A1L8F5J9	6E7V
A0A1L8F5J9	6E7W
A0A1L8F5J9	6E7X
A0A1U7U6F1	6VYH
A0A1U7U6F1	6WIK
A0A2H1BUS1	6I1M
A0A2R8Y811	6ZVJ
A0A2S4MYF8	3NB3
A0A384KE26	5VJ8
A0A384N5Y3	1A4I
A0A384N5Y3	1DIA
A0A384N5Y3	1DIB
A0A384N5Y3	1DIG
A0A384N5Y3	6ECP
A0A384N5Y3	6ECQ
A0A384N5Y3	6ECR
A0A3Q0KSG2	6QQM
A0A578	5BRZ
A0A578	5BS0
A0A580	5KS9
A0A580	5KSA
A0A580	5KSB
A0A584	6R2L
A0A5B4	2IJ0
A0A5B4	3MFG
A0A5B6	4ZDH
A0AV96	2DIS
A0AVK6	4YO2
A0FGR8	2DMG
A0FGR8	4NPJ
A0FGR8	4NPK
A0FGR8	4P42
A0JD37	1TVD
A0QP27	6AJF
A0QP27	6AJG
A0QP27	6AJH
A0QP27	6AJI
A0QP27	6AJJ
A0QP27	6N40
A0QP27	6OR2
A0QP27	7C2M
A0QP27	7C2N
A0QP48	5SUH
A0QP52	5L39
A0QQ40	6LAR
A0QQ40	6SGW
A0QQ40	6SGX
A0QQ40	6UMM
A0QS62	5O60
A0QS62	5O61
A0QS62	5ZEB
A0QS62	5ZEP
A0QS62	5ZET
A0QS62	6DZI
A0QS62	6DZP
A0QS97	5O5J
A0QS97	5O61
A0QS97	5XYU
A0QS97	5ZEB
A0QS97	5ZEP
A0QS97	5ZEU
A0QS97	6DZI
A0QS97	6DZK
A0QSD1	5O60
A0QSD1	5O61
A0QSD1	5XYM
A0QSD1	5ZEB
A0QSD1	5ZEP
A0QSD1	5ZET
A0QSD1	6DZI
A0QSD1	6DZP
A0QSD6	5O60
A0QSD6	5O61
A0QSD6	5XYM
A0QSD6	5ZEB
A0QSD6	5ZEP
A0QSD6	5ZET
A0QSD6	6DZI
A0QSD6	6DZP
A0QSD7	5O5J
A0QSD7	5O61
A0QSD7	5XYU
A0QSD7	5ZEB
A0QSD7	5ZEP
A0QSD7	5ZEU
A0QSD7	6DZI
A0QSD7	6DZK
A0QSG1	5O60
A0QSG1	5O61
A0QSG1	5XYM
A0QSG1	5ZEB
A0QSG1	5ZEP
A0QSG1	5ZET
A0QSG1	6DZI
A0QSG1	6DZP
A0QSG5	5O60
A0QSG5	5O61
A0QSG5	5XYM
A0QSG5	5ZEB
A0QSG5	5ZEP
A0QSG5	5ZET
A0QSG6	5O5J
A0QSG6	5O61
A0QSG6	5XYU
A0QSG6	5ZEB
A0QSG6	5ZEP
A0QSG6	5ZEU
A0QSG6	6DZI
A0QSG6	6DZK
A0QSL6	5O5J
A0QSL6	5O61
A0QSL6	5XYU
A0QSL6	5ZEB
A0QSL6	5ZEP
A0QSL6	5ZEU
A0QSL6	6DZI
A0QSL6	6DZK
A0QSL7	5O5J
A0QSL7	5O61
A0QSL7	5XYU
A0QSL7	5ZEB
A0QSL7	5ZEP
A0QSL7	5ZEU
A0QSL7	6DZI
A0QSL7	6DZK
A0QSP8	5O60
A0QSP8	5O61
A0QSP8	5XYM
A0QSP8	5ZEB
A0QSP8	5ZEP
A0QSP8	5ZET
A0QSP8	6DZI
A0QSP8	6DZP
A0QSP9	5O5J
A0QSP9	5O61
A0QSP9	5XYU
A0QSP9	5ZEB
A0QSP9	5ZEP
A0QSP9	5ZEU
A0QSP9	6DZI
A0QSP9	6DZK
A0QT10	6LUM
A0QTR9	6PPJ
A0QTR9	6PPR
A0QTR9	6PPU
A0QUE0	6YXU
A0QUE0	6YYS
A0QUE0	6Z11
A0QV37	5O5J
A0QV37	5O61
A0QV37	5XYU
A0QV37	5ZEB
A0QV37	5ZEP
A0QV37	5ZEU
A0QV37	6DZI
A0QV37	6DZK
A0QVB8	5O5J
A0QVB8	5O61
A0QVB8	5ZEB
A0QVB8	5ZEP
A0QVB8	5ZEU
A0QVB8	6DZI
A0QVB8	6DZK
A0QYU6	5O60
A0QYU6	5O61
A0QYU6	5XYM
A0QYU6	5ZEB
A0QYU6	5ZEP
A0QYU6	5ZET
A0QYU6	6DZI
A0QYU6	6DZP
A0QYY6	4NNH
A0R1R4	3OME
A0R1T8	6CUM
A0R3D2	5O60
A0R3D2	5O61
A0R3D2	5XYM
A0R3D2	5ZEB
A0R3D2	5ZEP
A0R3D2	5ZET
A0R3D2	6DZI
A0R3D2	6DZP
A0R3E2	2X1L
A0R3E2	2X1M
A0R4R9	3UCX
A0R7F6	5O60
A0R7F6	5O61
A0R7F6	5XYM
A0R7F6	5ZEB
A0R7F6	5ZEP
A0R7F6	5ZET
A0R7F6	6DZI
A0R7F6	6DZP
A1A4S6	2MIO
A1IKL2	2MAR
A1JUB7	2LME
A1L314	6SB1
A1L314	6SB3
A1L314	6SB4
A1L314	6SB5
A1L3X0	6Y7F
A1Z1Q3	4IQY
A1Z1Q3	6Y4Y
A1Z1Q3	6Y4Z
A1Z1Q3	6Y73
A2A259	5Z1W
A2ASQ1	3PVE
A2CG49	1WFW
A2RT67	6B3Y
